상가업소번호,brand,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,지번본번지,지번부번지,지번주소,도로명코드,도로명,도로명주소,층정보,경도,위도,place_id,월간 검색량,블로그누적발행,encoded,brand_type,리뷰수,방문자_리뷰수,블로그_리뷰수,log_리뷰수,log_방문자_리뷰수,log_블로그_리뷰수
MA0101202307A0096441,금별맥주,금별맥주종로평창점,종로평창점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11110,종로구,11110560,평창동,1111018300,평창동,1111018300102890005,289.0,5.0,서울특별시 종로구 평창동 289-5,111103100023,서울특별시 종로구 평창문화로,서울특별시 종로구 평창문화로 29,지,126.964768492308,37.6048607982193,1120915524,60.0,171.0,종로구 평창문화로 금별맥주,자사,35,40,7.0,3.58351893845611,3.713572066704308,2.0794415416798357
MA0101202310A0090370,금별맥주,금별맥주,홍제점,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,11,서울특별시,11410,서대문구,11410640,홍제3동,1141011100,홍제동,1141011100102700001,270.0,1.0,서울특별시 서대문구 홍제동 270-1,114104136193,서울특별시 서대문구 세무서8길,서울특별시 서대문구 세무서8길 30,2,126.946953355238,37.5906004565507,1831537710,20.0,122.0,서대문구 세무서8길 금별맥주,자사,202,221,82.0,5.313205979041787,5.402677381872279,4.418840607796598
MA0101202311A0031574,금별맥주,금별맥주,홍대점,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,11,서울특별시,11440,마포구,11440660,서교동,1144012000,서교동,1144012000103950018,395.0,18.0,서울특별시 마포구 서교동 395-18,114404139096,서울특별시 마포구 독막로7길,서울특별시 마포구 독막로7길 63,1,126.920082157805,37.5505991589255,1456505357,20.0,161.0,마포구 독막로7길 금별맥주,자사,464,696,1173.0,6.142037405587356,6.546785410760524,7.068172000388042
MA010120220814163743,금별맥주,금별맥주,길동점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11740,강동구,11740685,길동,1174010500,길동,1174010500104130001,413.0,1.0,서울특별시 강동구 길동 413-1,117404172230,서울특별시 강동구 양재대로111길,서울특별시 강동구 양재대로111길 15,1,127.138569198694,37.5369848644999,1765329714,100.0,272.0,강동구 양재대로111길 금별맥주,자사,186,275,49.0,5.231108616854587,5.62040086571715,3.912023005428146
MA0101202212A0039390,금별맥주,올라금별맥주,당산점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11560,영등포구,11560560,당산2동,1156011600,당산동6가,1156011600103320003,332.0,3.0,서울특별시 영등포구 당산동6가 332-3,115604154606,서울특별시 영등포구 양평로12길,서울특별시 영등포구 양평로12길 10-8,1,126.9014756037,37.5349707827803,1005671374,20.0,8.0,영등포구 양평로12길 금별맥주,자사,221,309,58.0,5.402677381872279,5.736572297479192,4.07753744390572
MA0101202210A0009834,금별맥주,금별맥주응암,오거리점,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,11,서울특별시,11380,은평구,11380600,응암3동,1138010700,응암동,1138010700105910012,591.0,12.0,서울특별시 은평구 응암동 591-12,113804133226,서울특별시 은평구 응암로13길,서울특별시 은평구 응암로13길 26,1,126.91441400761,37.5888874824481,1109103798,20.0,52.0,은평구 응암로13길 금별맥주,자사,90,119,25.0,4.51085950651685,4.787491742782046,3.258096538021482
MA0101202210A0027366,금별맥주,금별맥주,영등포점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11560,영등포구,11560535,영등포동,1156010400,영등포동3가,1156010400100110018,11.0,18.0,서울특별시 영등포구 영등포동3가 11-18,115604154815,서울특별시 영등포구 영중로4길,서울특별시 영등포구 영중로4길 26,,126.909190336751,37.5176056521633,1654545522,20.0,40.0,영등포구 영중로4길 금별맥주,자사,287,418,69.0,5.662960480135946,6.037870919922137,4.248495242049359
MA0101202210A0003451,금별맥주,금별맥주충정로역점,충정로역점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11140,중구,11140680,중림동,1114017100,중림동,1114017100102000000,200.0,,서울특별시 중구 중림동 200,111403101007,서울특별시 중구 중림로,서울특별시 중구 중림로 10,,126.965175051303,37.5586849982074,1151197342,20.0,32.0,중구 중림로 금별맥주,자사,167,199,63.0,5.123963979403259,5.298317366548036,4.1588830833596715
MA0101202302A0105619,금별맥주,금별맥주등촌역점,등촌역점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11470,양천구,11470530,목3동,1147010200,목동,1147010200106090024,609.0,24.0,서울특별시 양천구 목동 609-24,114704142195,서울특별시 양천구 목동중앙북로7가길,서울특별시 양천구 목동중앙북로7가길 14,1,126.866648367973,37.5488119774785,1480935223,60.0,403.02,양천구 목동중앙북로7가길 금별맥주,자사,138,150,19.0,4.9344739331306915,5.017279836814924,2.995732273553991
MA0101202303A0071486,금별맥주,금별맥주강서,구청점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11500,강서구,11500591,화곡6동,1150010300,화곡동,1150010300111190010,1119.0,10.0,서울특별시 강서구 화곡동 1119-10,115004145190,서울특별시 강서구 공항대로46길,서울특별시 강서구 공항대로46길 77,1,126.851488266646,37.5526141131673,1294998541,20.0,161.0,강서구 공항대로46길 금별맥주,자사,118,148,27.0,4.77912349311153,5.003946305945459,3.332204510175204
MA0101202305A0064259,금별맥주,금별맥주,오목교점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11470,양천구,11470510,목1동,1147010200,목동,1147010200104060184,406.0,184.0,서울특별시 양천구 목동 406-184,114703114014,서울특별시 양천구 오목로,서울특별시 양천구 오목로 331,1,126.874315727105,37.524889829564,1164697805,60.0,403.02,양천구 오목로 금별맥주,자사,359,404,43.0,5.886104031450156,6.003887067106539,3.784189633918261
MA0101202305A0172560,금별맥주,금별맥주묵동,자이점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11260,중랑구,11260620,묵1동,1126010400,묵동,1126010400101640004,164.0,4.0,서울특별시 중랑구 묵동 164-4,112603106006,서울특별시 중랑구 숙선옹주로,서울특별시 중랑구 숙선옹주로 6-9,1,127.078049911879,37.6150034054531,1460937600,20.0,86.0,중랑구 숙선옹주로 금별맥주,자사,426,408,62.0,6.056784013228625,6.013715156042802,4.143134726391533
MA0101202305A0049354,금별맥주,금별맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,11,서울특별시,11710,송파구,11710562,방이2동,1171011100,방이동,1171011100100590010,59.0,10.0,서울특별시 송파구 방이동 59-10,117104169374,서울특별시 송파구 오금로11길,서울특별시 송파구 오금로11길 24,1,127.109820488336,37.5148774863964,1826878021,120.0,375.96,송파구 오금로11길 금별맥주,자사,349,390,132.0,5.857933154483459,5.968707559985366,4.890349128221754
MA0101202303A0116482,금별맥주,금별맥주,구로디지털단지점,I2,음식,I211,주점,I21103,생맥주 전문,I56113,한식 육류 요리 전문점,11,서울특별시,11530,구로구,11530540,구로3동,1153010200,구로동,1153010200111240038,1124.0,38.0,서울특별시 구로구 구로동 1124-38,115304148338,서울특별시 구로구 디지털로32나길,서울특별시 구로구 디지털로32나길 22,,126.900751127938,37.4839913515492,1035417750,20.0,60.0,구로구 디지털로32나길 금별맥주,자사,307,350,158.0,5.730099782973574,5.860786223465865,5.0689042022202315
MA0101202305A0038991,금별맥주,금별맥주,화곡점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11500,강서구,11500590,화곡본동,1150010300,화곡동,1150010300100980235,98.0,235.0,서울특별시 강서구 화곡동 98-235,115003005069,서울특별시 강서구 화곡로,서울특별시 강서구 화곡로 194-52,1,126.843259666149,37.5423861595893,1778168403,20.0,161.0,강서구 화곡로 금별맥주,자사,998,875,74.0,6.906754778648554,6.775366090936392,4.31748811353631
MA0101202302A0018641,금별맥주,금별맥주,응암점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11380,은평구,11380580,응암1동,1138010700,응암동,1138010700100870018,87.0,18.0,서울특별시 은평구 응암동 87-18,113803005055,서울특별시 은평구 응암로,서울특별시 은평구 응암로 338,1,126.92259865912,37.6012096852962,1269875819,20.0,52.0,은평구 응암로 금별맥주,자사,149,188,39.0,5.0106352940962555,5.241747015059643,3.6888794541139363
MA0101202302A0081428,금별맥주,금별맥주,천호점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11740,강동구,11740610,천호2동,1174010900,천호동,1174010900104120002,412.0,2.0,서울특별시 강동구 천호동 412-2,117404172367,서울특별시 강동구 천호대로157길,서울특별시 강동구 천호대로157길 51,1,127.127655867536,37.5400335347348,1058646920,40.0,222.0,강동구 천호대로157길 금별맥주,자사,758,740,40.0,6.63200177739563,6.608000625296087,3.713572066704308
MA0101202210A0020762,금별맥주,금별맥주,종로점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111013500,관철동,1111013500100190004,19.0,4.0,서울특별시 종로구 관철동 19-4,111104100307,서울특별시 종로구 종로12길,서울특별시 종로구 종로12길 18,2,126.985567732937,37.5692579390109,1754035019,20.0,20.0,종로구 종로12길 금별맥주,자사,536,702,180.0,6.285998094508865,6.555356891810665,5.198497031265826
MA0101202211A0097249,금별맥주,금별맥주점,마곡나루역,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11500,강서구,11500603,가양1동,1150010500,마곡동,1150010500107600002,760.0,2.0,서울특별시 강서구 마곡동 760-2,115003155045,서울특별시 강서구 마곡중앙로,서울특별시 강서구 마곡중앙로 161-1,1,126.827461226472,37.5678893675651,1538729455,20.0,207.0,강서구 마곡중앙로 금별맥주,자사,327,400,158.0,5.793013608384144,5.993961427306569,5.0689042022202315
MA0101202210A0045520,금별맥주,금별맥주,건대점,I2,음식,I211,주점,I21103,생맥주 전문,I56123,서양식 음식점업,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1121510700100090088,9.0,88.0,서울특별시 광진구 화양동 9-88,112154112197,서울특별시 광진구 동일로22길,서울특별시 광진구 동일로22길 85,2,127.068898196838,37.5412627441633,1160722316,20.0,118.0,광진구 동일로22길 금별맥주,자사,209,293,50.0,5.3471075307174685,5.683579767338681,3.9318256327243257
MA010120220809880201,금별맥주,금별맥주마포,구청점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11440,마포구,11440730,성산2동,1144012500,성산동,1144012500105920002,592.0,2.0,서울특별시 마포구 성산동 592-2,114404139505,서울특별시 마포구 월드컵로34길,서울특별시 마포구 월드컵로34길 6,,126.9030552345,37.5645518603248,1117014686,20.0,45.0,마포구 월드컵로34길 금별맥주,자사,253,322,58.0,5.537334267018537,5.777652323222656,4.07753744390572
MA010120220810424872,금별맥주,금별맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11680,강남구,11680510,신사동,1168010700,신사동,1168010700105170006,517.0,6.0,서울특별시 강남구 신사동 517-6,116804166515,서울특별시 강남구 압구정로2길,서울특별시 강남구 압구정로2길 49,1,127.021198277901,37.5186838225239,1390537313,30.0,474.0,강남구 압구정로2길 금별맥주,자사,912,970,762.0,6.816735880594968,6.878326468291325,6.637258031284457
MA0101202209A0062760,금별맥주,금별맥주영통,구청점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41117,수원시 영통구,41117530,매탄3동,4111710100,매탄동,4111710100112630005,1263.0,5.0,경기도 수원시 영통구 매탄동 1263-5,411174331069,경기도 수원시 영통구 매탄로100번길,경기도 수원시 영통구 매탄로100번길 7-10,1,127.044054637859,37.2597054822986,1516621298,20.0,138.0,영통구 매탄로100번길 금별맥주,자사,168,204,87.0,5.1298987149230735,5.3230099791384085,4.477336814478207
MA0101202209A0063723,금별맥주,금별맥주시흥,은계점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41390,시흥시,41390540,은행동,4139010600,은행동,4139010600106440000,644.0,,경기도 시흥시 은행동 644,413903351838,경기도 시흥시 은계남로,경기도 시흥시 은계남로 12,,126.80174231903,37.4359329208959,1479645620,20.0,56.0,시흥시 은계남로 금별맥주,자사,126,182,25.0,4.844187086458591,5.209486152841421,3.258096538021482
MA010120220807074853,금별맥주,금별맥주평내호평역점,평내호평역점,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,41,경기도,41360,남양주시,41360510,호평동,4136010100,호평동,4136010100106540003,654.0,3.0,경기도 남양주시 호평동 654-3,413604391782,경기도 남양주시 호평로46번안길,경기도 남양주시 호평로46번안길 8-8,1,127.245719880238,37.654704977253,1384001087,30.0,126.99,남양주시 호평로46번안길 금별맥주,자사,174,273,76.0,5.1647859739235145,5.6131281063880705,4.343805421853684
MA010120220812130051,금별맥주,금별맥주수원,탑동점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41113,수원시 권선구,41113560,서둔동,4111313300,탑동,4111313300108610001,861.0,1.0,경기도 수원시 권선구 탑동 861-1,411133175047,경기도 수원시 권선구 하탑로,경기도 수원시 권선구 하탑로 30,1,126.974903486039,37.268613314708,1866157196,40.0,96.0,권선구 하탑로 금별맥주,자사,171,170,102.0,5.147494476813453,5.14166355650266,4.634728988229636
MA010120220811500121,금별맥주,금별맥주,서현점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41135,성남시 분당구,41135580,서현1동,4113510500,서현동,4113510500102470002,247.0,2.0,경기도 성남시 분당구 서현동 247-2,411354340477,경기도 성남시 분당구 황새울로360번길,경기도 성남시 분당구 황새울로360번길 24,,127.125293967665,37.3859901772794,1821667598,20.0,42.0,분당구 황새울로360번길 금별맥주,자사,257,380,214.0,5.552959584921617,5.942799375126701,5.3706380281276624
MA010120220808091315,금별맥주,금별맥주용인역북점,용인역북점,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,41,경기도,41461,용인시 처인구,41461525,역북동,4146110200,역북동,4146110200107540001,754.0,1.0,경기도 용인시 처인구 역북동 754-1,414613205043,경기도 용인시 처인구 명지로40번길,경기도 용인시 처인구 명지로40번길 15-9,,127.186655620565,37.2316432043738,1326207551,20.0,75.0,처인구 명지로40번길 금별맥주,자사,127,172,43.0,4.852030263919617,5.153291594497779,3.784189633918261
MA010120220806894330,금별맥주,금별맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41117,수원시 영통구,41117585,영통3동,4111710500,영통동,4111710500110100002,1010.0,2.0,경기도 수원시 영통구 영통동 1010-2,411174331172,경기도 수원시 영통구 청명남로34번길,경기도 수원시 영통구 청명남로34번길 8,,127.075927122121,37.2523548416823,1119031588,20.0,819.0,영통구 청명남로34번길 금별맥주,자사,222,297,42.0,5.407171771460119,5.697093486505405,3.7612001156935624
MA010120220805090548,금별맥주,금별맥주,백석점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41285,고양시 일산동구,41285551,백석1동,4128510600,백석동,4128510600112820010,1282.0,10.0,경기도 고양시 일산동구 백석동 1282-10,412854379008,경기도 고양시 일산동구 강송로73번길,경기도 고양시 일산동구 강송로73번길 53-9,1,126.788486900155,37.6446982952196,1548256786,20.0,144.0,일산동구 강송로73번길 금별맥주,자사,174,229,152.0,5.1647859739235145,5.438079308923196,5.030437921392435
MA010120220808636259,금별맥주,금별맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41220,평택시,41220256,포승읍,4122025622,포승읍,4122025622111450008,1145.0,8.0,경기도 평택시 포승읍 도곡리 1145-8,412203188064,경기도 평택시 포승읍 여술로,경기도 평택시 포승읍 여술로 28,,126.845763132964,36.9882401860057,1736872254,20.0,30.0,포승읍 여술로 금별맥주,자사,53,63,21.0,3.9889840465642745,4.1588830833596715,3.091042453358316
MA010120220806437848,금별맥주,금별맥주,용인보정점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41463,용인시 기흥구,41463590,보정동,4146311800,보정동,4146311800112620000,1262.0,,경기도 용인시 기흥구 보정동 1262,414633204056,경기도 용인시 기흥구 죽현로,경기도 용인시 기흥구 죽현로 8-20,1,127.109660214903,37.3198702410319,1504742739,50.0,166.0,기흥구 죽현로 금별맥주,자사,148,208,38.0,5.003946305945459,5.342334251964811,3.6635616461296463
MA010120220811967626,금별맥주,금별맥주,야당점,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,41,경기도,41480,파주시,41480570,운정3동,4148010800,야당동,4148010800110850000,1085.0,,경기도 파주시 야당동 1085,414803206150,경기도 파주시 소리천로,경기도 파주시 소리천로 29,1,126.761302931415,37.7158596126456,1021328867,20.0,56.0,파주시 소리천로 금별맥주,자사,323,454,108.0,5.780743515792329,6.12029741895095,4.6913478822291435
MA010120220813553585,금별맥주,금별맥주,산본역점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41410,군포시,41410620,광정동,4141010400,산본동,4141010400111290000,1129.0,,경기도 군포시 산본동 1129,414104400232,경기도 군포시 산본로323번길,경기도 군포시 산본로323번길 4-7,1,126.932871035193,37.3596644854389,1005285987,20.0,33.0,군포시 산본로323번길 금별맥주,자사,298,442,64.0,5.700443573390687,6.093569770045136,4.174387269895637
MA0101202503A0073275,금별맥주,금별맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,41,경기도,41390,시흥시,41390630,연성동,4139012900,장현동,4139012900105320001,532.0,1.0,경기도 시흥시 장현동 532-1,413904397392,경기도 시흥시 시청로80번길,경기도 시흥시 시청로80번길 20,1,126.80077710278,37.38228465196,2035205067,20.0,17.0,시흥시 시청로80번길 금별맥주,자사,78,74,2.0,4.3694478524670215,4.31748811353631,1.0986122886681098
MA0101202501A0019465,금별맥주,금별맥주,수원대점,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,41,경기도,41590,화성시,41590253,봉담읍,4159025325,봉담읍,4159025325100430003,43.0,3.0,경기도 화성시 봉담읍 와우리 43-3,415904430997,경기도 화성시 봉담읍 와우안길,경기도 화성시 봉담읍 와우안길 22,1,126.978898400917,37.2144702651746,1878005111,20.0,49.0,봉담읍 와우안길 금별맥주,자사,20,23,10.0,3.044522437723423,3.1780538303479458,2.3978952727983707
MA010120220803422494,금별맥주,금별맥주오산궐동점,오산궐동점,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,41,경기도,41370,오산시,41370530,남촌동,4137010400,궐동,4137010400106800002,680.0,2.0,경기도 오산시 궐동 680-2,413704394023,경기도 오산시 궐동로7번길,경기도 오산시 궐동로7번길 3-3,,127.054701957842,37.1583058349028,1206922924,40.0,121.0,오산시 궐동로7번길 금별맥주,자사,53,80,23.0,3.9889840465642745,4.394449154672439,3.1780538303479458
MA010120220810535733,금별맥주,금별맥주,구래점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41570,김포시,41570570,구래동,4157010900,구래동,4157010900168820008,6882.0,8.0,경기도 김포시 구래동 6882-8,415704838103,경기도 김포시 김포한강9로75번길,경기도 김포시 김포한강9로75번길 38,1,126.623436321819,37.6436021848696,1473086261,220.0,496.1,김포시 김포한강9로75번길 금별맥주,자사,299,363,194.0,5.703782474656201,5.8971538676367405,5.272999558563747
MA010120220802514771,금별맥주,금별맥주,화정점,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,41,경기도,41281,고양시 덕양구,41281622,화정2동,4128112300,화정동,4128112300109830001,983.0,1.0,경기도 고양시 덕양구 화정동 983-1,412814376366,경기도 고양시 덕양구 화신로272번길,경기도 고양시 덕양구 화신로272번길 29,,126.831243412251,37.6323696645225,1649261391,40.0,217.0,덕양구 화신로272번길 금별맥주,자사,270,372,43.0,5.602118820879701,5.921578419643816,3.784189633918261
MA0101202502A0050707,금별맥주,금별맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41273,안산시 단원구,41273535,호수동,4127310100,고잔동,4127310100107700013,770.0,13.0,경기도 안산시 단원구 고잔동 770-13,412733191003,경기도 안산시 단원구 광덕2로,경기도 안산시 단원구 광덕2로 185-14,1,126.831423032979,37.3109438174826,1636872723,60.0,279.0,단원구 광덕2로 금별맥주,자사,282,288,6.0,5.645446897643238,5.666426688112432,1.9459101490553132
MA0101202411A0116006,금별맥주,금별맥주금정역점,금정역점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41410,군포시,41410540,산본1동,4141010400,산본동,4141010400102590010,259.0,10.0,경기도 군포시 산본동 259-10,414104400072,경기도 군포시 군포로745번길,경기도 군포시 군포로745번길 3,1,126.942513244688,37.3713558789002,2075104976,20.0,33.0,군포시 군포로745번길 금별맥주,자사,4,0,1.0,1.6094379124341003,0.0,0.6931471805599453
